,ks,FDR,rank_FDR,rank_ks,average_rank
card_transtype_max_1,0.5368338597940332,0.42547033285094066,467.5,424.5,446.0
Merchnum_total_7,0.5605394265469521,0.28364688856729375,423.5,468.5,446.0
card_zip_avg_14,0.5733153571078716,0.2662807525325615,398.0,492.0,445.0
Merchnum_avg_0,0.5569922522990592,0.28364688856729375,423.5,464.5,444.0
merch_transtype_avg_0,0.5569922522990592,0.28364688856729375,423.5,464.5,444.0
merch_state_avg_0,0.5588840652095288,0.2821997105643994,420.5,467.0,443.75
card_transtype_avg_7,0.5440502959183757,0.36324167872648333,444.5,442.5,443.5
Cardnum_avg_7,0.5440502959183757,0.36324167872648333,444.5,442.5,443.5
card_state_avg_30,0.5503982738834842,0.2937771345875543,432.5,452.0,442.25
merch_zip_avg_0,0.556944708238057,0.2821997105643994,420.5,463.0,441.75
card_merch_avg_3,0.5674468930501466,0.26772793053545585,403.0,480.0,441.5
card_zip_avg_3,0.5663954481280383,0.2691751085383502,406.0,476.0,441.0
Cardnum_max_30,0.5213506332875603,0.41678726483357453,463.5,414.5,439.0
card_transtype_max_30,0.5213506332875603,0.41678726483357453,463.5,414.5,439.0
card_state_avg_1,0.5578353803359055,0.276410998552822,411.0,466.0,438.5
card_zip_avg_7,0.5671071622434627,0.2662807525325615,398.0,478.0,438.0
card_merch_avg_14,0.57014274814956,0.2633863965267728,390.0,484.0,437.0
card_transtype_avg_3,0.5426911501070844,0.3140376266280753,438.5,435.5,437.0
Cardnum_avg_3,0.5426911501070844,0.3140376266280753,438.5,435.5,437.0
Merchnum_max_7,0.5068082716961457,0.447178002894356,482.5,388.5,435.5
merch_transtype_max_7,0.5068082716961457,0.447178002894356,482.5,388.5,435.5
card_zip_avg_0,0.5439453027836625,0.29088277858176553,430.0,440.0,435.0
Cardnum_avg_1,0.5411656223407406,0.3024602026049204,436.5,432.5,434.5
card_transtype_avg_1,0.5411656223407406,0.3024602026049204,436.5,432.5,434.5
card_merch_avg_0,0.5430503793208086,0.29088277858176553,430.0,437.0,433.5
card_zip_avg_1,0.5527513710262619,0.2735166425470333,408.5,458.0,433.25
card_state_avg_0,0.5424687658779301,0.2937771345875543,432.5,434.0,433.25
Cardnum_avg_14,0.5233660251431068,0.37337192474674386,448.5,417.5,433.0
card_transtype_avg_14,0.5233660251431068,0.37337192474674386,448.5,417.5,433.0
card_merch_avg_7,0.5651202612109886,0.2633863965267728,390.0,475.0,432.5
Cardnum_avg_0,0.5372099609170458,0.2995658465991317,434.5,426.5,430.5
card_transtype_avg_0,0.5372099609170458,0.2995658465991317,434.5,426.5,430.5
merch_state_avg_1,0.5547117622382052,0.2662807525325615,398.0,461.0,429.5
Cardnum_avg_30,0.5207975106677544,0.3675832127351664,446.5,411.5,429.0
card_merch_avg_1,0.5502275960465155,0.27206946454413894,407.0,451.0,429.0
card_transtype_avg_30,0.5207975106677544,0.3675832127351664,446.5,411.5,429.0
merch_transtype_avg_1,0.552204725617014,0.26772793053545585,403.0,454.5,428.75
